REF_AREA,Reference area,POLLUTANT,TIME_PERIOD,OBS_VALUE,UNIT_MULT,DECIMALS
USA,United States,GHG,2000,23.15466,3,2
AUS,Australia,GHG,2022,20.05452,3,2
AUT,Austria,GHG,2022,8.046523,3,2
BEL,Belgium,GHG,2022,8.897688,3,2
CAN,Canada,GHG,2020,17.33327,3,2
CHE,Switzerland,GHG,2022,4.743798,3,2
CHL,Chile,GHG,2001,4.507546,3,2
COL,Colombia,GHG,2002,2.988038,3,2
CRI,Costa Rica,GHG,2000,2.568402,3,2
CZE,Czechia,GHG,2020,10.65787,3,2
DEU,Germany,GHG,2020,8.799268,3,2
DNK,Denmark,GHG,2022,7.115249,3,2
ESP,Spain,GHG,2020,5.715652,3,2
EST,Estonia,GHG,2020,8.5322,3,2
FIN,Finland,GHG,2022,8.225205,3,2
FRA,France,GHG,2020,5.76688,3,2
GBR,United Kingdom,GHG,2022,6.035362,3,2
GRC,Greece,GHG,2020,7.090219,3,2
HUN,Hungary,GHG,2013,5.914999,3,2
IRL,Ireland,GHG,2020,11.80245,3,2
ISL,Iceland,GHG,2022,12.21479,3,2
ISR,Israel,GHG,2021,8.39398,3,2
ITA,Italy,GHG,2020,6.377156,3,2
JPN,Japan,GHG,2020,9.040858,3,2
KOR,Korea,GHG,2000,10.69455,3,2
LTU,Lithuania,GHG,2000,5.39765,3,2
LUX,Luxembourg,GHG,2022,12.54361,3,2
LVA,Latvia,GHG,2000,4.304718,3,2
MEX,Mexico,GHG,2019,5.819585,3,2
NLD,Netherlands,GHG,2022,8.664255,3,2
NOR,Norway,GHG,2022,8.956998,3,2
NZL,New Zealand,GHG,2022,15.29934,3,2
POL,Poland,GHG,2020,9.684433,3,2
PRT,Portugal,GHG,2022,5.398377,3,2
SVK,Slovak Republic,GHG,2020,6.810417,3,2
SVN,Slovenia,GHG,2022,7.404967,3,2
SWE,Sweden,GHG,2022,4.31482,3,2
TUR,Türkiye,GHG,2001,4.29271,3,2
