REF_AREA,Reference area,POLLUTANT,TIME_PERIOD,OBS_VALUE,UNIT_MULT,DECIMALS
OECDE,OECD Europe,GHG,2008,9.622047,3,2
OECDE,OECD Europe,GHG,2007,9.877401,3,2
OECDE,OECD Europe,GHG,2006,10.00703,3,2
OECDE,OECD Europe,GHG,2004,10.0993,3,2
OECDE,OECD Europe,GHG,2003,10.1403,3,2
OECDE,OECD Europe,GHG,2002,10.02935,3,2
OECD,OECD,GHG,2005,13.77003,3,2
OECD,OECD,GHG,2004,13.83411,3,2
OECD,OECD,GHG,2003,13.79597,3,2
OECD,OECD,GHG,2002,13.73588,3,2
OECD,OECD,GHG,2021,10.86459,3,2
OECDE,OECD Europe,GHG,2020,7.105049,3,2
OECDE,OECD Europe,GHG,2019,7.667776,3,2
OECDE,OECD Europe,GHG,2018,8.034926,3,2
OECDE,OECD Europe,GHG,2017,8.227102,3,2
OECDE,OECD Europe,GHG,2016,8.208422,3,2
OECDE,OECD Europe,GHG,2015,8.251575,3,2
OECDE,OECD Europe,GHG,2014,8.208209,3,2
OECDE,OECD Europe,GHG,2013,8.547001,3,2
OECDE,OECD Europe,GHG,2012,8.744286,3,2
OECDE,OECD Europe,GHG,2011,8.825617,3,2
OECDE,OECD Europe,GHG,2010,9.097402,3,2
OECDA,OECD America,GHG,2015,15.52975,3,2
OECDA,OECD America,GHG,2014,15.9174,3,2
OECDA,OECD America,GHG,2013,15.96154,3,2
OECDE,OECD Europe,GHG,2005,10.03533,3,2
OECDA,OECD America,GHG,2012,15.73622,3,2
OECDA,OECD America,GHG,2011,16.3342,3,2
OECDA,OECD America,GHG,2010,16.70864,3,2
OECDA,OECD America,GHG,2009,16.42102,3,2
OECDA,OECD America,GHG,2008,17.58769,3,2
OECDA,OECD America,GHG,2007,18.1457,3,2
OECDA,OECD America,GHG,2006,17.99892,3,2
OECDA,OECD America,GHG,2005,18.30258,3,2
OECDA,OECD America,GHG,2004,18.44306,3,2
OECDA,OECD America,GHG,2003,18.34295,3,2
OECDA,OECD America,GHG,2002,18.35396,3,2
OECDA,OECD America,GHG,2001,18.4068,3,2
OECDA,OECD America,GHG,2000,18.89092,3,2
OECDA,OECD America,GHG,2022,13.96807,3,2
OECDA,OECD America,GHG,2021,13.99199,3,2
OECDA,OECD America,GHG,2020,13.49346,3,2
OECD,OECD,GHG,2019,11.33733,3,2
OECD,OECD,GHG,2018,11.7159,3,2
OECD,OECD,GHG,2017,11.70432,3,2
OECD,OECD,GHG,2016,11.77267,3,2
OECD,OECD,GHG,2015,11.95243,3,2
OECD,OECD,GHG,2014,12.11395,3,2
OECD,OECD,GHG,2013,12.32597,3,2
OECD,OECD,GHG,2012,12.31312,3,2
OECD,OECD,GHG,2011,12.54596,3,2
OECD,OECD,GHG,2010,12.74543,3,2
OECD,OECD,GHG,2009,12.48428,3,2
OECD,OECD,GHG,2008,13.29675,3,2
OECD,OECD,GHG,2007,13.67643,3,2
OECD,OECD,GHG,2006,13.62991,3,2
OECDE,OECD Europe,GHG,2001,10.14412,3,2
OECDE,OECD Europe,GHG,2000,10.13611,3,2
OECDE,OECD Europe,GHG,2022,7.244069,3,2
OECD,OECD,GHG,2022,10.7301,3,2
OECD,OECD,GHG,2001,13.76334,3,2
OECD,OECD,GHG,2000,13.94956,3,2
OECDSO,OECD Asia Oceania,GHG,2013,13.14838,3,2
OECDA,OECD America,GHG,2019,14.8117,3,2
OECD,OECD,GHG,2020,10.46278,3,2
OECDE,OECD Europe,GHG,2021,7.477945,3,2
OECDSO,OECD Asia Oceania,GHG,2012,13.15895,3,2
OECDSO,OECD Asia Oceania,GHG,2011,12.92578,3,2
OECDSO,OECD Asia Oceania,GHG,2010,12.57184,3,2
OECDSO,OECD Asia Oceania,GHG,2009,12.09716,3,2
OECDSO,OECD Asia Oceania,GHG,2008,12.49286,3,2
OECDSO,OECD Asia Oceania,GHG,2007,12.81711,3,2
OECDSO,OECD Asia Oceania,GHG,2006,12.60223,3,2
OECDSO,OECD Asia Oceania,GHG,2005,12.70204,3,2
OECDSO,OECD Asia Oceania,GHG,2004,12.63598,3,2
OECDSO,OECD Asia Oceania,GHG,2003,12.59464,3,2
OECDSO,OECD Asia Oceania,GHG,2002,12.55178,3,2
OECDSO,OECD Asia Oceania,GHG,2001,12.35414,3,2
OECDSO,OECD Asia Oceania,GHG,2000,12.42756,3,2
OECDSO,OECD Asia Oceania,GHG,2022,11.46829,3,2
OECDSO,OECD Asia Oceania,GHG,2021,11.64803,3,2
OECDSO,OECD Asia Oceania,GHG,2020,11.4561,3,2
OECDSO,OECD Asia Oceania,GHG,2019,12.06812,3,2
OECDSO,OECD Asia Oceania,GHG,2018,12.3987,3,2
OECDSO,OECD Asia Oceania,GHG,2017,12.55831,3,2
OECDSO,OECD Asia Oceania,GHG,2016,12.54755,3,2
OECDSO,OECD Asia Oceania,GHG,2015,12.64343,3,2
OECDSO,OECD Asia Oceania,GHG,2014,12.80757,3,2
OECDA,OECD America,GHG,2018,15.2335,3,2
OECDA,OECD America,GHG,2017,14.95917,3,2
OECDA,OECD America,GHG,2016,15.16229,3,2
OECDE,OECD Europe,GHG,2009,8.959594,3,2
